X,Y,FID,NAME,CLASS,ST,STFIPS,PLACEFIPS,CAPITAL
-149.8679026,61.21870115,864,Anchorage,municipality,AK,2,203000, 
-112.0738681,33.44611431,910,Phoenix,city,AZ,4,455000,State
-118.2705823,34.05278961,415,Los Angeles,city,CA,6,644000, 
-122.4424496,37.76692355,554,San Francisco,city,CA,6,667000, 
-104.9825208,39.72937112,674,Denver,city,CO,8,820000,State
-87.64714639,41.75648806,63,Chicago,city,IL,17,1714000, 
-93.26783448,44.9635188,3162,Minneapolis,city,MN,27,2743000, 
-93.1060355,44.95580765,3189,St. Paul,city,MN,27,2758000,State
-90.24517611,38.63577107,3316,St. Louis,city,MO,29,2965000, 
-78.63539486,35.78534242,2318,Raleigh,city,NC,37,3755000,State
-106.6494323,35.09326132,2037,Albuquerque,city,NM,35,3502000, 
-74.01013178,40.71057056,2174,New York,city,NY,36,3651000, 
-97.5191564,35.46767823,2859,Oklahoma City,city,OK,40,4055000,State
-97.74158882,30.26694457,3549,Austin,city,TX,48,4805000,State
-96.79575895,32.77864624,3592,Dallas,city,TX,48,4819000, 
-97.3130515,32.74683081,3613,Fort Worth,city,TX,48,4827000, 
-95.36750699,29.75876143,3641,Houston,city,TX,48,4835000, 
-98.49249979,29.42353596,3726,San Antonio,city,TX,48,4865000, 
-122.3201602,47.59146063,2552,Seattle,city,WA,53,5363000, 
